Cap,CarbonEmissions,TotalCost
7000,82855.78198481686,84102.64912044082
7000,83887.6548,144515.21701167492
7000,83710.936,105450.44119229945
7000,83791.79560000004,99827.03347919445
7000,83791.7956,103341.17967559435
7000,83794.15900000003,141886.05497830492
7000,83791.7956,167177.02718430542
7000,83887.65479999997,77301.18702669529
7000,83381.08852348514,109497.7079246124
7000,83710.936,128951.16163190008
7000,83791.79560000001,103623.90366643367
7000,83776.44500271036,150720.6534870777
7000,83876.20640000001,117561.31248268836
7000,83963.5155,92641.455353135
7000,83887.65479999999,116848.6971067687
7000,83887.65479999999,205143.66296534933
7000,83813.663,128782.97575388079
7000,83963.12037178272,174849.16914928932
7000,83791.79560000001,158197.82869924384
7000,83887.65479999997,97338.9133844517
7000,83855.41394583335,110727.79853033897
7000,83895.71039999997,152227.04439206404
7000,83963.51549999996,135183.33749692154
7000,83887.6548,119549.5457154995
7000,83710.93599999999,193326.547122007
7000,83772.29160000003,142958.24908447472
7000,83963.5155,163817.84080836974
7000,83683.704,219732.56062621833
7000,83798.31240271036,168182.85623028423
7000,83710.93599999999,240274.3844258726
7000,83887.65479999999,152536.2450466463
7000,83791.79560000001,126492.56653078979
7000,83963.51549999996,168096.9819670315
7000,83710.93599999999,237943.7819942544
7000,83897.63236377733,114152.22069878521
7000,83576.32917068082,108972.58065958405
7000,83710.936,95282.38799703716
7000,83855.41394583332,110788.07846996238
7000,83855.41394583334,175549.44385583568
7000,83887.65479999997,104281.92506155696
7000,83894.5526458333,170317.82587426883
7000,83830.63100000001,116632.25672480064
7000,83848.75277681598,78506.79784767394
7000,83894.5526458333,110955.1750391325
7000,77709.22625690674,69512.51532851614
7000,83772.29160000001,205100.8698248686
7000,82057.6188575875,103321.08381130603
7000,83939.66860399794,81721.65752746692
7000,83791.7956,124987.1605222323
7000,83963.5155,168456.27248614712
7000,82125.5538107761,117378.168785336
7000,83798.31240271036,138436.04554649667
7000,83830.23587178277,174751.34740323276
7000,81411.04113158208,83689.63282003664
7000,83813.53533395776,132391.9031934583
7000,82029.96214924128,83125.37201472404
7000,83947.21483376525,79039.37690480701
7000,77926.43242124777,135544.40567936114
7000,83830.23587178279,137025.58636849475
7000,83794.15900000003,154566.75216124643
7000,83937.18385854483,106335.59603744377
7000,83710.936,151887.3657909676
7000,81569.54944540425,74641.84036882529
7000,84000.00000000001,102776.37808128048
7000,83710.93599999999,251752.66407805795
7000,83860.18871054664,108245.07903892525
7000,83460.29071249157,78421.96922234351
7000,83887.65479999997,207927.19831780202
7000,83935.31219915174,81798.52312871494
7000,83791.7956,131537.0534603272
7000,83963.51550000001,135495.78452362484
7000,83963.12037178276,83395.62175086295
7000,83791.7956,167800.03366215224
7000,83772.29160000001,204849.17643917943
7000,83887.6548,92186.15648410992
7000,83710.936,168666.47235650322
7000,83710.93599999997,171674.2579070933
7000,79832.70933368537,85980.35666684169
7000,83855.41394583334,94988.98212072763
7000,83894.55264583333,96319.61006332109
7000,83710.93599999997,103576.86011955293
7000,83887.65479999999,107014.31281550975
7000,83887.65479999999,136136.1786424784
7000,83791.79560000004,157707.88745997375
7000,83887.65479999999,115813.22780617159
7000,82200.7238883235,91711.08411543947
7000,83830.63100000001,138054.09500087722
7000,83855.41394583332,171704.54781463163
7000,83830.63100000001,181057.99934816608
7000,83776.44500271037,171558.6418196399
7000,83710.936,186235.643155953
7000,83485.09354027893,87670.99672688538
7000,83103.10589699645,86908.85828588156
7000,83876.20640000004,110344.7733453205
7000,83787.00579396587,99336.79512505767
7000,83710.93599999999,109621.36889023054
7000,83813.663,182608.4227118715
7000,83791.79560000001,177757.9480852769
7000,83850.53258420761,115012.88936047259
7000,83776.44500271034,188955.5627845507
5000,60000.0,158450.93204155413
5000,59999.99999999999,286424.64285867504
5000,59999.99999999999,212932.75536585128
5000,60000.0,168272.75942246182
5000,59999.99999999999,221432.49050286665
5000,60000.0,278883.38285911747
5000,60000.0,291474.86797957384
5000,59999.99999999999,112388.44052843966
5000,60000.0,239899.65765246117
5000,59999.999999999985,240530.39081546935
5000,59999.99999999999,217212.7090844246
5000,59999.99999999998,290415.30733676825
5000,60000.0,228049.99150286257
5000,60000.0,172340.8943525138
5000,60000.00000000001,220017.28853009894
5000,59999.99999999998,349869.3827404284
5000,59999.99999999999,268259.1381059461
5000,59999.999999999985,313602.85467614984
5000,59999.99999999999,284526.7679763451
5000,59999.99999999999,180293.6983083883
5000,59999.99999999999,246320.83322348437
5000,60000.0,283108.5773336699
5000,59999.999999999985,260452.15604074064
5000,59999.99999999999,216220.9813350627
5000,59999.999999999985,337539.4443676858
5000,60000.0,251018.05963490673
5000,59999.999999999985,303211.8246513218
5000,59999.999999999985,366656.2901193989
5000,59999.99999999999,300645.4545575438
5000,59999.99999999998,385118.6520836091
5000,59999.99999999999,282414.4773692352
5000,60000.0,211722.4862658407
5000,59999.999999999985,307195.7605966786
5000,59999.99999999999,385437.77279963816
5000,59999.99999999997,216948.29703112552
5000,59999.99999999998,242110.60920260558
5000,60000.0,197133.78920016743
5000,59999.99999999999,236489.08167113864
5000,60000.0,318571.4220613897
5000,59999.99999999999,191556.35551857512
5000,60000.0,312529.13477090944
5000,59999.999999999985,251702.43523309083
5000,60000.00000000001,98284.01854335304
5000,60000.0,210599.2311467553
5000,60000.00000000001,137700.56737727823
5000,59999.99999999999,347006.04761686426
5000,60000.0,229507.27382065007
5000,60000.0,149301.00209413248
5000,60000.0,222774.94481982433
5000,59999.999999999985,312574.6685319755
5000,60000.0,245488.7930744547
5000,60000.00000000001,243493.91288583243
5000,59999.99999999999,318583.61957625905
5000,60000.0,184605.44106774544
5000,60000.000000000015,260582.50845896287
5000,59999.99999999999,151379.74100869498
5000,59999.999999999985,119315.99203104978
5000,60000.00000000002,268670.0096710702
5000,60000.0,276752.31973616977
5000,60000.0,287911.82658960565
5000,59999.99999999999,225858.42944107085
5000,60000.0,291307.22051903495
5000,59999.99999999999,83567.55848321831
5000,59999.99999999998,186972.258431408
5000,59999.99999999999,397042.5908015261
5000,59999.99999999999,202314.28735813932
5000,59999.999999999985,115006.73535763245
5000,59999.99999999998,354208.88127115264
5000,60000.00000000001,105238.95364811303
5000,60000.0,267153.0241845753
5000,60000.000000000015,276414.96109438094
5000,60000.000000000015,139178.89077194314
5000,59999.99999999999,310341.0653828978
5000,60000.0,351465.0865974202
5000,60000.0,144580.88266664286
5000,59999.999999999985,311088.7052815348
5000,60000.0,298309.8060247594
5000,60000.00000000001,198681.7812319204
5000,60000.0,177350.47972624644
5000,59999.99999999999,205584.61933112575
5000,60000.0,232351.4739122663
5000,59999.99999999999,213259.12941144223
5000,59999.999999999985,276502.6335017242
5000,60000.0,299398.86429344374
5000,59999.999999999985,242748.9387166537
5000,59999.99999999999,197255.86059519096
5000,59999.99999999999,261542.48346003355
5000,60000.0,314859.6686687315
5000,59999.999999999985,314656.1049133092
5000,59999.999999999985,283625.73816835805
5000,60000.0,330813.84594299464
5000,59999.999999999985,189030.51281418445
5000,59999.99999999999,174863.55254139277
5000,60000.0,215627.09914590642
5000,59999.999999999985,183904.3960078034
5000,59999.99999999999,221975.5269187592
5000,59999.99999999999,315835.35061405
5000,59999.999999999985,321146.59916032123
5000,60000.00000000001,252424.09066916542
5000,60000.0,332477.88887130754
9000,86707.80010150414,79561.58865495742
9000,96482.91017611432,97994.14073101582
9000,93463.1089561176,89182.9089558741
9000,89827.35039022651,88660.9851584428
9000,91235.27169302409,87082.98031732748
9000,99956.376512646,98649.25218412872
9000,100796.36691454948,107005.21519237303
9000,85615.45992835333,72626.31448595681
9000,91287.2671256955,86553.5663382392
9000,93583.35858993258,93324.1069550054
9000,94358.22373999766,88777.52589101011
9000,99672.36717283238,99889.79988138692
9000,95515.85240239456,94060.98655781262
9000,88217.15221592244,79846.53299725689
9000,92739.71411075181,85739.30409091088
9000,98719.551100646,103531.82457443212
9000,97050.76216196736,90220.5495619152
9000,95428.35265528005,97731.36561038364
9000,100295.2523850083,100176.53312175903
9000,90056.36572157008,80219.98255670757
9000,96671.33836676674,90824.89191189129
9000,98674.78137747664,102917.03432876145
9000,96580.18704108491,92235.16384120838
9000,92733.59887966792,86787.62993400425
9000,100227.66265719374,104247.6828601647
9000,97821.0284705814,100746.77596341673
9000,96912.36467034995,99515.4142992613
9000,101855.38735231747,118621.50615374665
9000,100481.43130565064,99805.8530197387
9000,105133.75065731193,135365.7713263684
9000,97209.32042545972,91475.07532466472
9000,96437.93024521272,96045.21956960719
9000,94421.68139345234,90278.8472618296
9000,101390.30881994413,120467.55712510915
9000,94131.54139614955,89496.65977650449
9000,90933.0725649106,83995.05414568403
9000,92930.64585223453,85952.11126742841
9000,92749.50421009406,87016.58978669565
9000,99194.76319289311,96119.83244574859
9000,92563.73474491165,82809.30911329799
9000,96210.60611723087,93917.96188994353
9000,94788.50374001269,86642.69487290933
9000,84522.55615111136,73109.38496072634
9000,94346.23102225439,88446.39637020968
9000,82788.98566989962,70281.61914194457
9000,102479.51039656102,113404.0504082435
9000,89998.60489318034,78075.5553323575
9000,88742.03694337608,77824.84857592681
9000,97021.7951108283,97288.71292662341
9000,94874.17437585116,97952.76542391449
9000,89981.3526058656,81852.50469323838
9000,98018.14585652911,94966.19080707649
9000,101282.69694909926,102152.85807463057
9000,90109.60969088027,78310.67407842069
9000,94865.01366748918,90053.5086989231
9000,86027.90774259059,76939.52641366783
9000,86098.3322268798,74556.81183809444
9000,85578.02587602947,87126.23756807868
