Cap,CarbonEmissions,TotalCost
7000,83786.32874999999,88600.8339626294
7000,83861.07789999999,126064.93627961987
7000,83786.32875000003,100629.43614907688
7000,83802.7293,96566.77290867757
7000,83802.72929999999,101768.42941023133
7000,83813.663,122908.32993063894
7000,83802.72929999999,132148.96829318703
7000,83861.07789999999,83909.32777834528
7000,83802.7293,107074.25063486173
7000,83786.32875,114083.77330907281
7000,83802.72930000004,100202.73812508844
7000,83802.72929999999,128216.20314014074
7000,83850.44184677294,108347.64609314439
7000,83900.29824999999,91993.17203023043
7000,83861.0779,106899.4822757226
7000,83861.0779,156286.60273743668
7000,83830.631,118159.91476059197
7000,83900.29825000002,139206.4249315095
7000,83802.72929999999,128252.1628883415
7000,83861.0779,96191.14775658747
7000,83850.44184677293,107994.33701886356
7000,83829.45316731125,126729.86054770777
7000,83900.29824999998,118284.28702184293
7000,83861.07789999999,110448.00784470784
7000,83786.32875,150519.251048196
7000,83802.72929999999,120714.75623981701
7000,83900.29824999999,133766.50261083018
7000,83786.32875,163629.88117273373
7000,83819.9949467729,134970.54205010957
7000,83786.32875,171326.8160178755
7000,83861.07789999997,127390.66642706309
7000,83802.72929999999,110909.13510648946
7000,83900.29824999998,135880.44437785176
7000,83786.32875,172732.77884358627
7000,83889.84201628806,108269.77112933232
7000,83900.29825,106160.96704287335
7000,83786.32874999999,96017.43804528982
7000,83850.44184677291,106360.04818607875
7000,83850.4418467729,141822.22606579599
7000,83861.0779,101622.09682474856
7000,83889.66219677294,139093.9205528159
7000,83830.63100000001,110952.4207322795
7000,83802.7293,82684.78309979934
7000,83889.66219677292,105550.93776049335
7000,82209.23964194146,78587.37379377248
7000,83802.72929999998,154162.9255858102
7000,83900.29825000004,101775.11948662154
7000,83802.72930000004,86914.25654811619
7000,83802.72930000002,110872.73198375935
7000,83900.29825,138047.6802519798
7000,83900.29824999999,109299.38605327351
7000,83819.99494677295,118697.29039542786
7000,83830.63100000002,141469.50192783528
7000,83239.9633745503,87925.49788394269
7000,83819.99494677292,118596.02024775745
7000,83830.63099999998,88868.6235045812
7000,83802.72929999999,81825.23093144227
7000,82386.21571606158,119452.54872515806
7000,83830.63100000004,122591.35932940243
7000,83813.663,128219.88066231943
7000,83889.66219677292,103213.86417766669
7000,83786.32875000002,128408.3489399066
7000,82958.43913701324,79245.60106720266
7000,83872.79264596371,98410.99463833848
7000,83786.32875000002,177020.39737796882
7000,83861.0779,104679.71351695048
7000,83830.63100000005,82834.92131951638
7000,83861.07789999999,157246.55442044992
7000,83889.66219677294,85303.28337933235
7000,83802.7293,117540.19969134693
7000,83900.29825,121811.9869523589
7000,83900.29825000004,87012.31205551313
7000,83802.72929999999,137880.66287674668
7000,83802.72929999999,156188.28519726355
7000,83861.0779,91192.65793835655
7000,83786.32874999999,137892.93093399805
7000,83786.32875,137318.67608163515
7000,82848.6692919415,90888.28785191603
7000,83850.44184677291,94739.25248587373
7000,83889.66219677292,97898.12509903949
7000,83786.32875000002,103414.61504098706
7000,83861.0779,102369.83142137638
7000,83861.0779,122014.30402474968
7000,83802.72930000002,132599.85127170742
7000,83861.07789999999,109111.30367664972
7000,83861.0779,94753.59913333802
7000,83830.631,119537.8744784696
7000,83850.4418467729,139648.75901528104
7000,83830.63100000001,141636.51354644512
7000,83802.72929999999,134114.30046760893
7000,83786.32875000002,147104.77206175166
7000,83802.7293,91182.28919823206
7000,83786.32875,91236.33348473358
7000,83833.5722959637,103721.01080922733
7000,83830.63100000002,97676.85466745839
7000,83786.32874999997,104565.30846488736
7000,83830.63100000002,143726.79809216986
7000,83802.7293,142380.24248458783
7000,83861.07790000002,110601.38248296098
7000,83802.72929999998,147962.28413755656
5000,60000.000000000015,194361.99789804587
5000,60000.0,266214.51848041406
5000,60000.00000000002,228975.69332397476
5000,60000.00000000001,194079.08423840813
5000,60000.00000000001,233314.33078584296
5000,60000.00000000001,262194.0441766152
5000,60000.00000000001,267810.70711318485
5000,60000.000000000015,172031.021230077
5000,60000.00000000001,243164.53842317918
5000,60000.00000000002,240144.01239301698
5000,60000.00000000001,230907.86873058713
5000,60000.00000000001,268477.05527020496
5000,60000.0,236476.03433032898
5000,60000.00000000001,201481.3229674928
5000,59999.99999999999,232339.1996548624
5000,60000.00000000001,297937.2171155056
5000,60000.000000000015,257337.96571533766
5000,60000.000000000015,279562.6902204744
5000,60000.00000000001,264943.89140447765
5000,60000.0,205717.65168540826
5000,60000.0,246485.97067571676
5000,60000.0,263674.1441776767
5000,60000.000000000015,252428.53082878384
5000,60000.00000000001,221619.79736177047
5000,60000.0,292112.1466155046
5000,60000.000000000015,246453.47205062778
5000,60000.0,274318.1300232023
5000,60000.000000000015,306201.7207230648
5000,60000.0,271530.46862900874
5000,60000.00000000001,314146.63988517143
5000,60000.0,262355.6401285412
5000,60000.00000000004,226287.8277566282
5000,60000.0,276290.25388334657
5000,60000.00000000001,315425.898020875
5000,59999.99999999999,226904.71696933484
5000,60000.0,244327.76565168262
5000,60000.00000000001,220946.85864121732
5000,60000.000000000015,240843.88913980187
5000,60000.0,282511.2329612493
5000,60000.0,210554.44059145908
5000,60000.00000000001,279513.3639706713
5000,60000.00000000002,249228.05800627283
5000,60000.00000000001,160246.16757776192
5000,59999.99999999999,225516.45288529646
5000,60000.0,190918.7146145577
5000,60000.000000000015,296015.600810221
5000,60000.000000000015,237543.40955136347
5000,60000.00000000002,190134.91158110055
5000,60000.0,233115.33939035752
5000,60000.000000000015,278972.7165506952
5000,60000.0,245567.1660375796
5000,60000.0,240902.43744256714
5000,60000.0,282411.2776276995
5000,60000.0,214914.4805101291
5000,60000.0,252762.29685315918
5000,60000.00000000001,184946.1922327099
5000,60000.00000000001,172529.51535372355
5000,60000.00000000001,257160.54141755938
5000,60000.0,261617.44205415566
5000,60000.000000000015,265107.6484534284
5000,60000.0,235389.55458146468
5000,60000.000000000015,268808.5331019747
5000,60000.00000000002,147289.01700680226
5000,60000.0,212461.05918965297
5000,60000.00000000002,319753.4142815522
5000,60000.000000000015,217330.3923446101
5000,60000.0,176074.14298160555
5000,60000.00000000001,299568.7392537177
5000,60000.00000000001,153230.92232763057
5000,60000.000000000015,256797.1497825564
5000,60000.00000000001,261379.17991266385
5000,60000.0,185746.14112956813
5000,60000.00000000002,278495.7214383416
5000,60000.000000000015,298489.5702769687
5000,60000.00000000001,185556.2417256713
5000,60000.00000000001,278275.9515853829
5000,60000.00000000002,270728.15195846395
5000,59999.99999999999,222063.4676022205
5000,60000.0,211050.1157018122
5000,60000.0,225331.59789850985
5000,60000.00000000002,239274.94522577463
5000,60000.00000000001,229026.3413518633
5000,60000.000000000015,261180.62104437908
5000,60000.00000000001,272720.563458203
5000,60000.0,242593.62762784175
5000,59999.99999999999,220415.01913414788
5000,60000.000000000015,253202.09236167907
5000,60000.0,280308.71306040307
5000,60000.00000000001,278669.4276123312
5000,60000.00000000001,261033.61992621433
5000,60000.00000000002,288599.6266249933
5000,60000.00000000001,217061.96993340433
5000,60000.00000000001,206769.3904043223
5000,60000.00000000001,230099.92478121372
5000,59999.999999999985,214281.30824886344
5000,60000.00000000001,233479.2652586648
5000,60000.00000000001,280161.77189517696
5000,60000.00000000002,283405.8083379925
5000,60000.0,249551.20980295257
5000,59999.99999999999,288941.5150794596
9000,88466.51341432257,77641.30325653756
9000,93970.58511663512,86819.64232974972
9000,91486.65727200001,82591.18882120316
9000,90611.83839269109,81644.10960350707
9000,91746.9886772154,82292.77619945473
9000,95499.01765758499,88093.79082844743
9000,95796.05638112717,90344.91349822532
9000,87687.6189121141,73423.92727272474
9000,90589.2708145454,82163.20523247858
9000,91960.17842299702,82862.56561384498
9000,91288.23370823555,82520.14451870511
9000,96025.60035006158,89015.54607353594
9000,93863.62578508655,84168.68528465014
9000,89958.92495173997,76425.1823804161
9000,91942.13734127887,81635.24759026342
9000,96084.61981449851,89492.44785644738
9000,93787.43099200002,84965.57509517024
9000,93813.46993181178,86321.27966631691
9000,95799.66202190396,88544.02325773035
9000,89952.68344204797,78300.42822683975
9000,94681.6590122279,83621.89693973845
9000,96395.8835073527,87810.06164111017
9000,93709.93584349364,83432.3805748497
9000,91618.14549102938,80968.1024708652
9000,96208.3748265267,91488.14496640416
9000,94358.51303208571,87727.05931844887
9000,95047.3204501213,87415.62575950832
9000,98085.0852590157,95504.47109898989
9000,95950.27599339052,88424.50476566097
9000,99240.72898663844,98122.51727749614
9000,94180.60190010999,85125.72447498444
9000,93221.159079,84209.70378550931
9000,93866.88058885207,83566.71872063403
9000,97361.85705892257,94427.5967210375
9000,93203.94708030047,83477.88520712947
9000,91509.09665913624,79820.7366787857
