global_cap,total_cost,total_carbon,total_backorder,optimality
31000,350542.6113312128,30999.999999999993,27869.7067172397,OPTIMAL
30000,360445.1309803129,29999.99999999999,28804.232335490837,OPTIMAL
29000,370404.378734029,28999.99999999999,29786.8145229983,OPTIMAL
28000,380428.8676607752,27999.99999999999,30851.55046848382,OPTIMAL
27000,390464.7639176284,26999.999999999993,31907.898030242737,OPTIMAL
26000,400549.97794676817,26000.0,33013.39976763836,OPTIMAL
25000,410938.26110017044,24999.999999999996,34127.11702329105,OPTIMAL
24000,421637.2699472742,24000.0,35285.60286510148,OPTIMAL
23000,432668.3392525554,23000.0,36476.66364991482,OPTIMAL
22000,443786.5411574698,22000.000000000004,37632.782576777194,OPTIMAL
21000,454957.46982503374,21000.000000000004,38611.615318732416,OPTIMAL
20000,466204.8594433732,20000.0,39524.4140635043,OPTIMAL
19000,477734.38352750806,19000.0,40570.02265372168,OPTIMAL
18000,489422.9764341994,18000.000000000004,41687.05834752981,OPTIMAL
17000,501625.9151054089,17000.0,42964.74148211244,OPTIMAL
16000,514244.9808084487,16000.0,44154.15586307357,OPTIMAL
15000,527309.1917508678,15000.000000000004,45211.02686720659,OPTIMAL
14000,540494.5025121359,14000.000000000002,46375.896844660194,OPTIMAL
13000,553799.2215783681,12999.999999999998,47589.90297320446,OPTIMAL
12000,568029.0025645416,11999.999999999998,48813.443900648475,OPTIMAL
11000,582849.6644822005,11000.0,49978.71035598707,OPTIMAL
10000,597782.2426914778,10000.0,51327.14617044229,OPTIMAL
9000,613309.2018242995,9000.0,52673.75504710632,OPTIMAL
8000,629401.0716154261,8000.0,54071.038565264294,OPTIMAL
7000,646001.6649271845,7000.0,55554.317961165056,OPTIMAL
6000,662705.047282427,5999.999999999999,56866.4540429361,OPTIMAL
5000,679702.5009262207,5000.0,58241.23235042211,OPTIMAL
4000,696991.1342310047,4000.0,59709.481463354954,OPTIMAL
3000,715004.4326699029,3000.0,61288.558252427174,OPTIMAL
2000,733344.1749170844,2000.0,62852.87299138706,OPTIMAL
1000,752200.1975870935,1000.0,64289.385268029306,OPTIMAL
0,772557.57,0.0,65832.0,OPTIMAL
