global_cap,total_cost,total_carbon,total_backorder,optimality,pareto_optimal
18000,489422.9764341994,18000.000000000004,41687.05834752981,OPTIMAL,true
17000,501625.9151054089,17000.0,42964.74148211244,OPTIMAL,true
16000,514244.9808084487,16000.0,44154.15586307357,OPTIMAL,true
15000,527309.1917508678,15000.000000000004,45211.02686720659,OPTIMAL,true
14000,540494.5025121359,14000.000000000002,46375.896844660194,OPTIMAL,true
13000,553799.2215783681,12999.999999999998,47589.90297320446,OPTIMAL,true
12000,568029.0025645416,11999.999999999998,48813.443900648475,OPTIMAL,true
11000,582849.6644822005,11000.0,49978.71035598707,OPTIMAL,true
10000,597782.2426914778,10000.0,51327.14617044229,OPTIMAL,true
9000,613309.2018242995,9000.0,52673.75504710632,OPTIMAL,true
8000,629401.0716154261,8000.0,54071.038565264294,OPTIMAL,true
7000,646001.6649271845,7000.0,55554.317961165056,OPTIMAL,true
6000,662705.047282427,5999.999999999999,56866.4540429361,OPTIMAL,true
5000,679702.5009262207,5000.0,58241.23235042211,OPTIMAL,true
4000,696991.1342310047,4000.0,59709.481463354954,OPTIMAL,true
3000,715004.4326699029,3000.0,61288.558252427174,OPTIMAL,true
2000,733344.1749170844,2000.0,62852.87299138706,OPTIMAL,true
1000,752200.1975870935,1000.0,64289.385268029306,OPTIMAL,true
0,772557.57,0.0,65832.0,OPTIMAL,true
