Carbon_Cap,Total_Cost,Total_Carbon
9000,81985.78000000001,93180.25800000003
8000,82819.25291582345,93246.9645861885
7000,108367.0491515748,83830.63100000002
6000,176034.48567668107,72000.0
5000,246920.96750128292,59999.99999999999
4000,324245.5872558663,48000.0
3000,425743.3619284537,36000.0
2000,534874.9408205282,23999.999999999993
1000,647717.0477450317,12000.0
0,772557.57,0.0
